Timestamp,Username,Event,Details
2026-08-26 23:10:58,Hira,Tab Switched,Browser Activity
2026-08-26 23:11:54,Gina,Tab Switched,Browser Activity
2026-08-26 23:12:48,Gina,Tab Switched,Browser Activity
2026-08-26 23:12:55,Gina,Returned to Exam,Browser Activity
2026-08-26 23:12:56,Gina,Tab Switched,Browser Activity
2026-08-26 23:53:25,Gia,Tab Switched,Browser Activity
2026-08-26 23:53:53,Gia,Tab Switched,Browser Activity
2026-08-26 23:55:03,Riya,Tab Switched,Browser Activity
2026-08-26 23:58:57,Kishan,Tab Switched,Browser Activity
2026-08-26 23:59:41,Kishan,Tab Switched,Browser Activity
2026-08-26 23:59:46,Kishan,Returned to Exam,Browser Activity
2026-08-27 00:00:39,Ram,Tab Switched,Browser Activity
2026-08-27 00:04:21,Tina,Tab Switched,Browser Activity
2026-08-27 00:08:23,Tina,Tab Switched,Browser Activity
2026-08-27 08:36:24,Tina,Tab Switched,Browser Activity
2026-08-27 08:37:12,Tina,Tab Switched,Browser Activity
2026-08-27 09:59:08,Tina,Tab Switched,Browser Activity
2026-08-27 09:59:23,Tina,Face Absent,No face detected
2026-08-27 09:59:23,Tina,Face Present,Student returned after 2.6 seconds
2026-08-27 09:59:26,Tina,Face Absent,No face detected
2026-08-27 09:59:27,Tina,Face Present,Student returned after 2.9 seconds
2026-08-27 09:59:29,Tina,Face Absent,No face detected
2026-08-27 09:59:31,Tina,Face Present,Student returned after 4.3 seconds
2026-08-27 10:00:00,Tina,Multiple Faces,More than one face detected
2026-08-27 10:00:13,Tina,Face Absent,No face detected
2026-08-27 10:00:14,Tina,Face Present,Student returned after 2.5 seconds
2026-08-27 10:00:16,Tina,Face Absent,No face detected
2026-08-27 10:00:19,Tina,Face Present,Student returned after 4.2 seconds
2026-08-27 10:00:40,Tina,Multiple Faces,More than one face detected
2026-08-27 10:01:15,Tina,Tab Switched,Browser Activity
2026-08-27 10:10:25,Hira,Tab Switched,Browser Activity
2026-08-27 10:10:43,Hira,Tab Switched,Browser Activity
2026-08-27 10:12:32,Hira,Tab Switched,Browser Activity
2026-08-27 10:12:57,Hira,Tab Switched,Browser Activity
2026-08-27 10:17:48,Hira,Tab Switched,Browser Activity
2026-08-27 10:18:09,Hira,Tab Switched,Browser Activity
2026-08-27 18:00:40,Hira,Tab Switched,Browser Activity
2026-08-27 18:01:01,Hira,Tab Switched,Browser Activity
2026-08-27 18:55:20,Kishan,Face Absent,No face detected
2026-08-27 18:55:23,Kishan,Face Present,Student returned after 1.1 seconds
2026-08-27 19:06:26,Kishan,Tab Switched,Browser Activity
2026-08-27 19:06:38,Kishan,Tab Switched,Browser Activity
2026-08-27 19:06:45,Kishan,Tab Switched,Browser Activity
2026-08-27 19:19:05,Hira,Tab Switched,Browser Activity
2026-08-27 19:19:10,Hira,Tab Switched,Browser Activity
2026-08-30 11:46:35,Hira,Tab Switched,Browser Activity
2026-08-30 11:46:45,Hira,Face Absent,No face detected
2026-08-30 11:46:46,Hira,Face Present,Student returned after 2.9 seconds
2026-08-30 11:46:49,Hira,Tab Switched,Browser Activity
2026-08-31 14:17:06,Hira,Multiple Faces,More than one face detected
2026-08-31 14:17:11,Hira,Face Absent,No face detected
2026-08-31 14:17:11,Hira,Tab Switched,Browser Activity
2026-08-31 14:17:13,Hira,Face Present,Student returned after 4.4 seconds
2026-08-31 14:17:16,Hira,Multiple Faces,More than one face detected
2026-08-31 14:17:21,Hira,Tab Switched,Browser Activity
2026-08-31 14:54:00,Hira,Face Absent,No face detected
2026-08-31 14:54:00,Hira,Face Present,Student returned after 0.2 seconds
2026-08-31 14:54:06,Hira,Tab Switched,Browser Activity
2026-08-31 15:04:51,Hira,Face Absent,No face detected
2026-08-31 15:04:53,Hira,Face Present,Student returned after 4.2 seconds
2026-08-31 15:05:00,Hira,Tab Switched,Browser Activity
2026-08-31 19:14:37,Priya,Tab Switched,Browser Activity
2026-08-31 19:14:44,Priya,Tab Switched,Browser Activity
2026-09-02 15:47:39,Riya,Face Absent,No face detected
2026-09-02 15:47:41,Riya,Face Present,Student returned after 3.2 seconds
2026-09-02 15:47:48,Riya,Tab Switched,Browser Activity
2026-09-02 15:47:52,Riya,Tab Switched,Browser Activity
2026-09-02 16:10:07,Priya,Tab Switched,Browser Activity
2026-09-06 20:51:12,Priya,Tab Switched,Browser Activity
2026-09-06 22:14:44,Tina,Face Absent,No face detected
2026-09-06 22:14:46,Tina,Face Present,Student returned after 3.9 seconds
2026-09-06 22:27:41,Priya,Tab Switched,Browser Activity
2026-09-06 22:27:43,Priya,Tab Switched,Browser Activity
2026-09-06 22:27:51,Priya,Tab Switched,Browser Activity
2026-09-06 23:03:29,Priya,Tab Switched,Browser Activity
2026-09-06 23:03:39,Priya,Tab Switched,Browser Activity
2026-09-06 23:10:22,Riya,Tab Switched,Browser Activity
2026-09-06 23:10:29,Riya,Tab Switched,Browser Activity
2026-09-06 23:10:37,Riya,Tab Switched,Browser Activity
2026-09-06 23:27:20,Riya,Tab Switched,Browser Activity
2026-09-06 23:30:40,Riya,Face Absent,No face detected
2026-09-06 23:30:40,Riya,Face Absent,No face detected
2026-09-06 23:31:18,Riya,Face Absent,No face detected
2026-09-06 23:31:20,Riya,Face Absent,No face detected
2026-09-06 23:31:22,Riya,Face Absent,No face detected
2026-09-06 23:31:23,Riya,Face Absent,No face detected
2026-09-06 23:31:26,Riya,Face Absent,No face detected
2026-09-06 23:31:54,Riya,Face Absent,No face detected
2026-09-06 23:32:14,Riya,Face Absent,No face detected
2026-09-06 23:32:14,Riya,Face Absent,No face detected
